epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.3797,2.61939,5.89637,2.60978,0.00226,0.13088,0.00396,0.00146,2.90385,20,3.41902,0.000271356,0.000271356,0.000271356
2,38.7856,2.55407,4.43003,2.53518,0.26285,0.02965,0.0029,0.00055,3.22791,inf,4.69654,0.000538152,0.000538152,0.000538152
3,49.9946,2.45254,4.11502,2.46937,0.01089,0.11914,0.00361,0.00121,3.12359,103.157,4.32595,0.000793952,0.000793952,0.000793952
4,61.0889,2.42657,3.92734,2.48144,0.26043,0.01042,0.00167,0.0005,3.89553,263.989,5.81658,0.00078352,0.00078352,0.00078352
5,72.2183,2.41611,3.87613,2.51253,0.25719,0.06181,0.0039,0.0014,3.21802,7.81839,3.53974,0.000767026,0.000767026,0.000767026
6,83.0864,2.40262,3.8406,2.49835,0.67891,0.05623,0.01674,0.00675,2.92855,4.98408,3.10906,0.000750533,0.000750533,0.000750533
7,94.3745,2.34894,3.74124,2.43115,0.78561,0.02941,0.03715,0.01463,2.79222,4.95371,2.77485,0.00073404,0.00073404,0.00073404
8,106.313,2.32615,3.673,2.383,0.72477,0.0576,0.06757,0.03508,2.68946,3.88524,2.7545,0.000717546,0.000717546,0.000717546
9,117.627,2.23155,3.585,2.33403,0.6083,0.08239,0.11426,0.05012,2.53249,3.8048,2.67762,0.000701053,0.000701053,0.000701053
10,130.272,2.24558,3.54648,2.31199,0.76107,0.08908,0.07852,0.03855,2.50785,3.78249,2.65386,0.000684559,0.000684559,0.000684559
11,142.044,2.21629,3.5369,2.30965,0.79099,0.16775,0.10476,0.04828,2.54493,3.72841,2.7284,0.000668066,0.000668066,0.000668066
12,152.948,2.15141,3.42431,2.26002,0.92417,0.03432,0.09309,0.05225,2.47258,3.86242,2.59698,0.000651573,0.000651573,0.000651573
